1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
2723	COCO NFS ADJFS PREP DET PROPN PREP PROPN XFAMIL XFAMIL PREL <eps> VERB PREP NMS ADJMS PUNCT	et réaction immédiate de l' ump avec jean françois copé qui <eps> crie au scandale budgétaire écoutez	<eps> réaction immédiate de l' ump avec jean-françois <eps> copé qui ne crie au scandale budgétaire écoutez	_
2724	PPER1S VERB PREP VERB COSUB PROPN XFAMIL VERB CHIF CHIF NMP PREP NMP ADJMP PREP CHIF CHIF CHIF	je viens d' apprendre que vincent peillon annonçait quarante mille postes de professeurs supplémentaires en deux mille treize	vient <eps> d' apprendre que vincent peillon annonçait quarante milles postes de professeurs supplémentaires en deux milles treize	_
2725	PPER1S VERB ADV ADV ADV PREP PROPN XFAMIL PREP VERB DETFS NFS PREP DETFS NFS ADV PREFP ADV VERB ADV DETMS ADJMS NMS PREP VERB PDEMMS	je demande donc maintenant officiellement à françois hollande de siffler la fin de la récréation premièrement nous n' avons pas le premier euro pour financer cela	je demande donc maintenant officiellement à françois hollande de siffler la fin de la récréation premièrement nous n' avons pas le premier euro pour financer cela	_
2726	ADV PPER1S VERB PREP PROPN XFAMIL PREP VERB PINDMP AUX ADV DET NMP DET ADJFP NFP PREL PPER3MS VERB VERB PREP VERB DINTMS ADJMS NMS PREP NMS PPER3MS AUX PREP NMS PREP VERB DET NMS	deuxièmement je demande à françois hollande de dire quels sont donc les postes des autres administrations qu' il va supprimer pour financer un tel niveau de recrutement il est en train de ruiner notre pays	deuxièmement je demande à françois hollande de dire quelles sont donc les postes des autres administrations qui <eps> va supprimer pour financer un tel niveau de recrutement <eps> est en train de ruiner notre pays	_
2727	PROPN XFAMIL XFAMIL VERB ADV VERB ADV COCO ADV VERB ADV VERB PDEMMS AUX PRON ADV PREP VERB PPER3MS PPOBJMS VERB DET NFP PREP PROPN XFAMIL XFAMIL XFAMIL DETMS NMS VERB <eps> ADV VPPMS DETMS NMS DINTMS NMS	jean françois copé dit n' importe quoi et ne sait pas compter c' est ce qu' à déclarer il y a quelques minutes sur bfm tv michel sapin le budget existe <eps> même ajouté le ministre du travail	jean-françois <eps> copé dit n' importe quoi il ne sait pas compter c' est ce qu' a déclaré il y a quelques minutes sur bfm tv michel sapin le budget existe a même ajouté le ministre du travail	_
2728	DINTFS NFS PREP NMP PREP PROPN VPPFS <eps> PREP DINTMS NMS NMS <eps> PREP DET NMS PROPN XFAMIL ADV PREF AUX ADV ADV VPPMS PREP DINTMS NMS DINTMS NMS ADJMS VPPMS PREP NMS PREP NMS	une délégation de salariés de psa reçue <eps> pendant un heure aujourd'hui <eps> à l' élysée françois hollande ne s' est certes pas engagé sur un gel du plan social annoncé au mois de juillet	une délégation de salariés de psa a reçu pendant une heure aujourd' hui à l' elysée françois hollande ne s' est certes pas engagé sur un gel du plan social annoncé au mois de juillet	_
2729	PREP NFS DETMS NMS PREP DET NMS AUX VPPMS DINTFS NFS ADJFS PREP DETFS NFS DET NMP COCO DET NMS VERB DETMS NMS PROPN PREP PROPN XFAMIL	en revanche le chef de l' état a promis une négociation tripartite entre la direction les syndicats et l' état écoutez le délégué cgt de psa aulnay	<eps> revanche le chef de l' etat a promis une négociation tripartite entre la direction les syndicats et l' état écoutez le délégué cgt de psa aulnay	_
2730	PINDMS PPOBJMS AUX VPPMS ADV ADV PREP VERB ADV ADV ADV DINTMS NMS PREP NFP ADJFP PDEMMS PREP PRON PPER3MS VERB AUX VPPMS ADV ADV PINDMS AUX VPPMS DET NMS PREP DETFS NFS DINTMS NMS PREP DET NMS	on lui a demandé très clairement d' établir très très rapidement un calendrier de négociations tripartites ce sur quoi il s' est engagé là où on a obtenu aucun engagement de la part du chef de l' état	<eps> lui a demandé très clairement d' établir très très rapidement un calendrier de négociation tripartite ce sur quoi il s' est engagé là <eps> on a obtenu aucun engagement de la part du chef de l' etat	_
2731	PDEMMS AUX PREL PPER3MS VERB ADV PREP VERB PREP NFS COSUB DETMS NMS PREP NMS AUX VPPMS DETMS NMS PREP DETFS NFS PDEMMS VERB VERB COSUB PREP PREFP PDEMMS VERB AUX ADJMS PDEMMS AUX ADJMS ADV COSUB PINDMS VERB ADV VERB DETMS NMS PREP DETFS NFS	c' est qui s' engage sérieusement à faire en sorte que le plan de licenciement soit gelé le temps de la négociation ça veut dire que pour nous ça c' est inacceptable c' est inacceptable parce que on peut pas négocier le couteau sous la gorge	<eps> <eps> qui s' engagent sérieusement à faire en sorte que le plan de licenciement soit gelé le temps de la négociation ça veut dire que pour nous ça c' est inacceptable c' est inacceptable parce que on peut pas négocier le couteau sous la gorge	_
2732	VERB DET NMP PREL AUX VPPMS DET NMP PREP VERB NFS NMS <eps> COCO ADV PREP VERB DET NMP PREP DET PROPN	voilà des syndicats qui avaient demandé aux salariés de faire grève aujourd'hui <eps> et surtout de manifester aux abords de l' élysée	<eps> des syndicats qui avaient demandé aux salariés de faire grève aujourd' hui et surtout de manifester aux abords de l' elysée	_
2733	PPER3MP AUX ADV CHIF NMP PREP PREP DET NMS PREP NFS ADV VPPMP PREP DET NMP COCO ADV ADV VPPMP PPER3MP ADV AUX ADV ADV VPPMS VERB PREP PREP DET PROPN COCO AUX VPPMP PREP DETMS NMS	ils étaient environ huit cents selon en tout cas l' intersyndicale très encadrés par les policiers mais aussi très remontés ils n' ont pas vraiment pu approcher de de l' élysée et sont repartis dans le calme	ils étaient environ huit cents selon en tout cas l' intersyndicale très encadrée par les policiers mais aussi très remonté ils n' ont pas vraiment pu approcher de de l' elysée et sont repartis dans le calme	_
2734	ADV AUX VPPMS PREP DINTFS NFS PREP ADJMS NMS PREP DET NMP ADJ PREP DET NMP NUM NFS PREP NMP PREP DET NFP ADJFP COCO NFP ADJFP PPOBJFP AUX VPPMP	demain est considéré comme une journée à haut risque pour les intérêts français dans certains pays une vingtaine de pays en tout ambassades consulats et écoles françaises y seront fermés	<eps> est considérée comme une journée à haut risque pour les intérêts français dans certains pays une vingtaine de pays en tout ambassades consulats et écoles françaises y seront fermés	_
2735	PDEMMS AUX PREP ADV ADV DETMS NMS PREP ADV PREP PROPN COCO ADV COSUB DETMS NMS ADJMS AUX VPPMS ADV PREP DET NFS PREP VERB DET NFP PREP PDEMMS NMS	c' est d' ailleurs déjà le cas depuis hier en tunisie et même si le gouvernement tunisien a décidé tout à l' heure d' interdire les manifestations de ce vendredi	c' est d' ailleurs déjà le cas depuis hier en tunisie <eps> même si le gouvernement tunisien a décidé tout à l' heure d' interdire les manifestations de ce vendredi	_
2736	DET NMP ADJ VERB ADV ADV ADV PREP NFP NMS PROPN XFAMIL PREP PROPN AUX <eps> VPPMP ADJMP PREP PROPN XFAMIL PREP PROPN PREP PROPN PREP PROPN	les expatriés français ont quand même beaucoup de craintes reportage johanne portal avec françois pitrel <eps> envoyés spéciaux de bfm tv en tu(nisie) à tu(nisie) en tunisie	les expatriés français ont quand même beaucoup de craintes reportage johanne portal avec françois pietra le envoyés spéciaux de bfm tv en tu as tu en tunisie	_
2737	ADV VERB VERB PDEMMS	pourquoi faut prendre ça	<eps> <eps> <eps>	_
2738	PREP VERB DET NFS	pour mettre ta pâte	mettent tapa <eps> <eps>	_
2739	ADV PREP NFS PREP PROPN PREP DETFS NFS ADJFS AUX ADJFS NFS DET NFS AUX VPPMS PPOBJMS VERB ADV PPER3MS ADV PPOBJMS VERB ADV NFS PUNCT <eps>	pas d' école pour chloé à la place c' est atelier cuisine sa maman a dû lui expliquer pourquoi il n' y avait pas classe aujourd'hui <eps>	<eps> d' école pour chloé à la place ses ateliers <eps> cuisine sa maman a dû lui expliquer pourquoi il n' y avait pas classe aujourd' hui	_
2740	PPER1S AUX ADV VPPMS PREP PPOBJMS PPOBJMS VERB ADV DET NFS AUX VPPFS PPOBJFS VERB DET NMP PREL VERB PPOBJFS VERB PPOBJFS PPER1S AUX PPER1S AUX VPPMS DETMS DETMS NMS DET NMP PREL PREL VERB ADV VERB VERB COCO ADV PREP PDEMMS NMS PINDMS VERB ADV ADV COSUB PDEMMS ADV VERB ADV VERB ADV PREP PROPN	j' ai déjà commencé à lui lui demander pourquoi ton école est fermée y' a des méchants qui vont la brûler moi j' ai j' ai expliqué le le coup des dessins qui qui d' habitude font rire mais qu' en ce moment on sait très bien que ça ne fait pas rire ici en tunisie	jacques commence <eps> <eps> à me demande <eps> pourquoi l' école est fermée les <eps> <eps> méchants qui vont <eps> brûler moi j' ai j' ai expliqué le le coût des dessins qui qui d' habitude font rire mais qu' en ce moment c' est très bien que ça ne fait pas <eps> <eps> en tunisie	_
2741	ADJMS PREP PROPN VPPFS PREP PROPN PREP CHIF NMP DET NFP VERB PREP VERB DINTMS ADV ADV DETMS NMS DINTFS NFS PREP DET NFP ADJFP PREP DET NFS ADJFS	pire pour florence installée en tunisie depuis cinq ans ces caricatures risquent de déstabiliser un peu plus le pays une semaine après les attaques violentes contre l' ambassade américaine	pire pour florence installé en tunisie depuis cinq ans ces caricatures risque de déstabiliser un peu plus le pays une semaine après les attaques violentes contre l' ambassade américaine	_
2742	PDEMMS AUX ADV ADV DETMS ADJMS NMS DINTMS NMS COCO PPER1S AUX ADV PREP NFS PRON ADV COSUB COSUB PINDMS VERB PRON PREL PPER3MS VERB AUX VPPMS CHIF NMP PREP ADV DET NMP PREP VERB PDEMMS AUX DINTMS NMS	c' était vraiment pas le bon moment du tout et j' étais vraiment en colère quoi parce que quand on voit ce qu' il s' est passé huit jours avant juste quelques jours après sortir c' est du marketing	<eps> était vraiment pas le bon moment du tout je t' es vraiment en colère quoi parce que quand on voit ce qui <eps> s' est passé huit jours avant juste quelques jours après sortir <eps> <eps> du marketing	_
2743	PREP DETFS PROPN ADV VERB DET ADJMP NMP PDEMMS NMS ADJ ADV AUX PREP NFS PPER3MS AUX ADV VPPMS DINTFS NFS PREP COSUB PROPN XFAMIL ADV VERB ADV PREP NMS PDEMMS NMS	à la marsa où vivent de nombreux expatriés ce commerçant français aussi est en colère il a carrément lancé une pétition pour que charlie hebdo ne ressorte pas en kiosque ce vendredi	marsat <eps> <eps> où vivent de nombreux expatriés ce commerçant français aussi est en colère <eps> a carrément lancé une pétition pour que charlie hebdo ne ressortant kiosques <eps> <eps> ce vendredi	_
2744	PPER3MS PPOBJMS VERB DINTMS NMS PREL AUX AUX VPPMS COCO PPER1S VERB COSUB COSUB DETFS PROPN VERB DET NFS PREP PREP VERB PDEMMS VERB VERB DET NFP	il y a un mal qui a été fait mais je pense que si la france a l' intelligence de l' interdire ça peut calmer les choses	<eps> <eps> a amman <eps> qui était <eps> fait mais je pense que si la france à l' intelligence intervient <eps> <eps> ça peut calmer les choses	_
2745	COCO PDEMMS AUX ADJMS COSUB ADV AUX PPOBJMS VERB PREP DETFS NFS ADJFS COCO DET NMP ADJ PREP VERB DINTFS NFS COCO PREP VERB PDEMFS ADJFS NFS PREP PREP VERB VERB DET NFP	et c' est vrai que là j' en appelle à la diplomatie française ou aux dirigeants français de faire une action et d' empêcher cette deuxième sortie pour pour pouvoir calmer les choses	et c' est vrai que là j' en appelle à la diplomatie française où on dirigeants français et faire rédaction <eps> et d' empêcher sa deuxième sortie pour <eps> pouvoir calmer les choses	_
2746	PREP PDEMFS NFS DET NFP DETFS NFS ADJFS PREP NFS COCO NMS VERB ADV COSUB PPER3MS ADV PPOBJMS VERB ADV DET NMP PDEMMS NMS NMS PREP NFS PREP DET NMP ADJMP PREP COSUB PREP NMS DET NMP ADJMP ADJ DINTMS NMS VERB ADV DET NMP	avec cette affaire des caricatures la communauté française entre crainte et agacement espère surtout qu' il n' y aura pas de débordements ce vendredi jour de prière dans les pays musulmans pour que dès lundi les établissements scolaires français du pays accueillent normalement les élèves	<eps> cette affaire des caricatures la communauté française entre crainte et agacement espère surtout qu' il n' y aura pas de débordement ce vendredi jour de prière dans les pays musulmans pour que dès lundi les établissements scolaires français du pays accueille normalement les élèves	_
2747	PROPN XFAMIL PREP PROPN ADJMS VERB PREP VERB DET NMP ADJ VPPMP PREP PROPN DETMS NMS ADJMS VERB PREP NMS PREP PROPN PREP AUX VPPMS PREP VERB DETMS NMS DINTMS PROPN VPPMS PREP DET NMP PREP NFP DET NMP DETMS NMS PREP PROPN XFAMIL AUX VPPMS PREP DETMS NMS PREP VERB DET NFP	al qaïda au maghreb islamique menace de tuer les otages français enlevés au niger le groupe terroriste reproche en fait à paris d' avoir appelé à envahir le nord du mali tombé depuis quelques mois aux mains des islamistes le quai d' orsay s' est refusé pour le moment à commenter ces menaces	al qaïda au maghreb islamique menace de tuer les otages français enlevés au niger <eps> groupe terroriste reproche en fait à paris d' avoir appelé à envahir le nord du mali tombés depuis quelques mois au moins des islamistes le quai d' orsay s' est refusé pour le moment a commenté ces menaces	_
2748	PROPN XFAMIL VERB NFS PREP DETFS NFS PROPN XFAMIL DETFS NFS PREP PROPN XFAMIL AUX VPPMS ADV <eps> DINTFS NFS PREP NFP PREP NMS PREP DETFS NFS COCO PPER3FS AUX VPPMS VERB VERB DET NFP PREP DET ADJFS ADJFS NFS PUNCT	valérie trierweiler devient ambassadrice de la fondation danielle mitterrand la compagne de françois hollande a inauguré aujourd'hui <eps> une vente aux enchères au profit de la fondation et elle a dit vouloir défendre les valeurs de l' ancienne première dame écoutez	valérie trierweiler devient ambassadrice de la fondation danielle mitterrand la compagne de françois hollande a inauguré aujourd' hui une vente aux enchères au profit de la fondation <eps> elle a dit vouloir défendre les valeurs de l' ancienne première dame écoutez	_
2749	PPER1S VERB VERB PREP PPOBJMS VERB DINTMS ADV ADJMS PPER3MS ADV PREF VERB ADV PREP PREF VERB	je vais essayer de le faire du mieux possible il ne s' agit pas de se substituer	je vais essayer de le faire du mieux possible il ne s' agit pas de se substituer	_
2750	PREP DETFS NFS PREP PROPN XFAMIL PPER3MS ADV PREF VERB ADV PREP PREFS VERB PREP PROPN XFAMIL COCO ADV PREP PREFS VERB PPER3MS PREF VERB ADV PREP VERB DET NFP DET NFP PREL PPER3FS VERB	à la mémoire de danielle mitterrand il ne s' agit pas de me mesurer à danielle mitterrand ni même de me comparer il s' agit seulement de porter ses valeurs les valeurs qu' elle incarnait	<eps> la mémoire de danielle mitterrand il ne s' agit pas de me mesurer à danielle mitterrand ni même de me comparer il s' agit seulement de porter ses valeurs les valeurs qu' elle incarnait	_
2751	PDEMMS AUX DINTFS ADJFS NFS PREP PREL DETMS NMS NMS VERB DINTMS NMS PREP PREL DETMS NMS NFS VERB DINTMS NMS COCO PPER1S PPOBJMS AUX ADV ADJMS PREP PDEMMS NMS ADV COCO PREP NMS COSUB PPER3FS AUX VPPFS PDEMMS PREP PROPN COCO PDEMMS PREP <eps> <eps> <eps> NFS	c' était une grande dame pour qui le mot engagement avait un sens pour qui le mot liberté avait un sens et j' y suis très sensible à ce mot là et au fait qu' elle ait associée celui de france et celui de <eps> <eps> <eps> liberté	<eps> était une grande dame pour qui le mot engagement avait un sens pour qui le mot liberté avait un sens et j' y suis très sensible à ce moment-là <eps> et au fait qu' elle est associée celui de france et ceux de l' île de liberté	_
2752	INTJ PREP DET NMP PREP PREFP VERB PREP PDEMMS PREFP VERB VERB PDEMFS NFS DINTMS ADV ADJFS ADV ADV PDEMFS ADV ADV COSUB PDEMMS AUX PROPN XFAMIL XFAMIL PREL PREL AUX DETMS NMS PREP DET PROPN COCO DET PRON VERB PDEMMS AUX PROPN DETMS NMS PREP DINTFS ADJFS NFS ADJFS PREL VERB VERB	bonsoir à tous ravi de vous retrouver dans ça vous regarde regardez cette image un peu originale alors pas celle ci parce que c' est jean françois copé qui qui est au siège de l' ump mais l' autre regardez c' est bruno le maire avec une petite cagette orange qui va déposer	<eps> à tous ravi de vous retrouver dans ça vous regarde regardez cette image un peu originale alors pas celle-ci <eps> parce que c' est jean-françois <eps> copé qui qui est au siège de l' ump mais l' autre regarder c' est bruno le maire avec une petite cagettes orange qui va déposer	_
2753	DET NMP PROPN AUX DINTFS NFS PREP DETFS NFS ADJFS COCO ADJFS PREP DET NFS PREP DETFS NFS PREP PROPN PINDMS VERB VERB PDEMMS NMS PREFP ADV VERB VERB ADV PREP PDEMFS NFS PREP DETFS NFS PREP DET PROPN XFAMIL AUX DINTMS NMS PUNCT PREP ADJFS NFS PREP PROPN XFAMIL XFAMIL	ses parrainages c' est une image à la fois originale et unique dans l' histoire de la droite en france on va parler ce soir vous l' aurez compris évidemment de cette bataille pour la présidence à l' ump c' est un duel hein sans véritable surprise entre jean françois copé	ses parrainages c' est une image à la fois originale et unique dans l' histoire de la droite en france on va parler ce soir vous l' aurez compris évidemment de cette bataille pour la présidence à l' ump c' est un duel un sans véritable surprise entre jean-françois <eps> copé	_
2754	COCO PROPN XFAMIL PINDMS PPOBJMS VERB PDEMMS NMS ADJMS AUX DINTFS NFS PREP NMP DINTFS NFS PREP NMP DINTFS NFS PREP NFP ADV AUX ADV ADV DINTFS NFS PREP NFP PINDMP DETMS NMS PINDMS VERB PPOBJMS VERB ADV PREP DET NMP COCO PINDMS VERB PREP PROPN XFAMIL ADV COSUB PPER3MS AUX DETMS NMS	et françois fillon on en parle ce soir c' est une bataille de chiffres une bataille de parrainages une bataille de personnalités c' est pas vraiment une bataille d' idées certains le déplorent on va en parler évidemment dans quelques instants et on parlera de nicolas sarkozy parce que il est le chouchou	et françois fillon on en parle ce soir c' est une bataille de chiffres une bataille de parrainages une bataille de personnalités c' est pas vraiment une bataille d' idées certains le déplore on va en parler évidemment dans quelques instants et on parlera de nicolas sarkozy parce que il est le chouchou	_
2755	DET NMP PREP DET PREP DET NMP DETMS NMS PUNCT DET NMP VERB COSUB PDEMMS AUX PPOBJMS PREP CHIF CHIF CHIF CHIF PREL AUX ADV <eps> PPER3MS <eps> VERB VERB AUX PINDMS VERB PPOBJMS VERB ADV PREP DET NMP PPER1S PREFP VERB PDEMMS NMS	des sympatisants dans les dans les sondages le sondage lh2 les sympatisants disent que c' est lui en deux mille dix sept qui sera là <eps> il <eps> reviendra peut être on va en parler évidemment dans quelques instants je vous indique ce site	des sympathisants dans les dans les sondages le sondage lh2 les sympathisants disent que c' est lui en deux milles dix sept qui sera là et il ne reviendra peut être on va en reparler évidemment dans quelques instants je vous dis que ceci	_
2756	PROPN XFAMIL XFAMIL COCO DETMS NMS NMS ADJMS PREP PRELMS PREFP VERB DET NMS DET NFP COCO PDEMMS NMS PREFP AUX AUX ADJMP COCO PPER1S AUX VERB DETMS NMS PREP VERB PREP PROPN PREL DET CHIF PREP PROPN XFAMIL COCO PROPN XFAMIL XFAMIL PPER1S VERB DETFS NFS	lcp point fr et le jdd point fr sur lequel vous posez chaque soir vos questions et ce soir vous avez été nombreux et je fais monter le suspense à répondre à « qui des deux entre françois fillon et jean françois copé » je retourne la feuille	lcp point fr et le jdd point fr sur lequel vous poser chaque soir vos questions <eps> ce soir vous avez été nombreux et je suis montée le suspense à répondre un <eps> qui des deux entre françois fillon et jean-françois <eps> copé <eps> je retourne la feuille	_
2757	PDEMMS AUX DETMS DETMS NMS DET CHIF PPER3MS PPOBJMS VERB DINTMS NMS NMS PREFP VERB PPOBJMS VERB PREP DET NMP CHIF NMP AUX PREP PPOBJMP PREP NMS PROPN XFAMIL XFAMIL	« est le le meilleur des deux » il y a un sondage jdd vous allez le découvrir dans quelques instants quatre invités sont avec moi d' abord jean leonetti bonsoir	et <eps> le le meilleur des deux <eps> il y a un sondage jdd vous allez le découvrir dans quelques instants quatre invités sont avec moi d' abord jan leonetti bonsoir	_
2758	INTJ	bon(soir)	mais	_
2759	INTJ PREP AUX VPPMS PREP DET NFS NMS PROPN ADJMS NMS PREP NFS DET NFP ADJFP PREFP VERB PREFP AUX VPPMS PDEMMS NMS ADJMS PINDMS PPOBJMS VERB VERB VERB COCO PREFP VERB COCO PREFP AUX DET NMP PREP PROPN XFAMIL PREP PDEMFS NFS PINDMS VERB DET NMP	(mer)ci d' avoir répondu à notre invitation député ump ancien ministre en charge des affaires européennes vous appartenez vous avez créé ce courant humaniste on en parlera peut être et vous défendez et vous êtes aux côtés de françois fillon dans cette bataille on écoutera vos arguments	<eps> d' avoir répondu à notre invitation députée ump ancien ministre en charge des affaires européennes vous appartenez vous avez créé ce courant humanistes on en parlera peut-être <eps> et vous défendez et vous êtes au côté de françois fillon dans cette bataille on écoutera vos arguments	_
2760	INTJ VERB AUX ADV NOUN PREP PREFP PROPN XFAMIL XFAMIL	merci d' être là face à vous franck riester bonsoir	merci d' être là face à vous franck riester bonsoir	_
2761	INTJ	bons(oir)	bonsoir	_
2762	NMS PROPN PREP PREP PROPN COCO PROPN PREFP PREFP VERB PROPN XFAMIL XFAMIL PPER1S VERB COSUB PREFP AUX AUX NMS PREP NFS PREP NFP ADJFP PREP PREP CHIF CHIF CHIF INTJ PREP AUX ADV <eps>	député ump de de seine et marne vous vous défendez jean françois copé je rappelle que vous avez été directeur de campagne aux élections européennes en en deux mille neuf merci d' être là <eps>	<eps> ump de seine-et-marne <eps> <eps> <eps> vous vous défendez jean-françois <eps> copé je rappelle que vous avez été directeur de campagne aux élections européennes en en deux milles neuf merci d' être là on est	_
2763	PREP PREP VERB ADV DET NMS COCO ADV PREP PREFP PREP PDEMMS NMS PROPN XFAMIL XFAMIL	pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	_
2764	NMS ADJMS PREP PREP DET PROPN PREFP VERB DET NMS DETFS NFS ADJFS COCO PPER1S PPER1S PREFP VERB PUNCT PREL VERB NFS ADV ADJMS PDEMMS AUX DETMS NMS PINDMS VERB ADV PREP PDEMMS NMS	secrétaire national à à l' ump vous lancez votre courant la droite forte et j(e) je vous cite « qui a fondation non négociable c' est le sarkozisme » on reviendra évidemment sur ce courant	nationale <eps> à <eps> l' ump vous lancez votre courant la droite forte et je je vous cite un qui a fondation non négociable c' est le sarkozysme <eps> on reviendra évidemment sur ce courant	_
2765	PREFP VERB DINTFS NFS COCO PINDMP VERB PREP DET NMP COSUB PINDMS VERB DINTMS ADV DETMS NMS COSUB PREFP PREFP AUX ADV ADV ADJMS PREP PROPN XFAMIL XFAMIL COSUB PREP PROPN XFAMIL PINDMS VERB ADV DET DET NMP <eps> PPER1S VERB <eps> PREFP AUX DETMS NMS NMP <eps> PREP PDEMFS NFS ADJFS	vous affichez une neutralité mais certains disent dans les couloirs quand on creuse un peu le sujet que vous vous êtes finalement plus proche de jean françois copé que de françois fillon on écoutera évidemment vos vos arguments <eps> je rappelle <eps> vous étiez le monsieur sondages <eps> dans cette campagne présidentielle	vous affichez une neutralité mais certains disent dans les couloirs quand on creuse un peu le sujet que vous vous êtes finalement plus proche de jean-françois <eps> copé que deux françois fillon on écoutera évidemment vos vos arguments hein je rappelle que vous essayez le monsieur sondage un dans cette campagne présidentielle	_
2766	DET NMP PREP PROPN XFAMIL ADV ADV PREP PREFP PROPN XFAMIL XFAMIL	aux côtés de nicolas sarkozy puis enfin avec nous christine clerc bonsoir	aux côtés de nicolas sarkozy puis enfin avec nous christine clerc bonsoir	_
2767	INTJ	bon(soir)	soir	_
2768	PREFP AUX NMS ADJMS PINDMS PREF VERB PREP DET NMS ADJMS PREP PROPN XFAMIL PUNCT AUX PREP PREP CHIF NMP CHIF PINDMS VERB DET NMS PREP NFS ADV COSUB PPER3MS PREF VERB ADV ADV DET NFS PREP NFS PDEMMS AUX DETFS ADJFS NFS COSUB PPER3MS PPOBJMS VERB ADV DINTMS NMS PREP NFS PREP	(vou)s êtes journaliste éditorialiste on se souvient de votre carnet intime de nicolas sarkozy c' était en en deux mille neuf on écoutera votre point de vue parce qu' il se passe quand même quelque chose à droite c' est la première fois qu' il y a déjà un début de démocratisation pour	<eps> <eps> journaliste éditorialiste on se souvient de votre carnet intime de nicolas sarkozy c' était en en deux milles neuf on écoutera votre point de vue parce qu' il se passe quand même quelque chose à droite c' est la première fois qu' il y a déjà un début de démocratisation pour	_
2769	VERB VERB DETMS NMS PREP PDEMMS NMS ADV COSUB PREP PDEMMS AUX ADV PDEMMS VERB CHIF NMP PINDMS VERB DINTMS NMS PREP PDEMMS COCO PREL PINDMS VERB DETMS NMS DINTMS NMS <eps> <eps> PDEMMS VERB CHIF NMP COSUB PDEMMS VERB ADV DET NFP VERB VERB PINDMS VERB PPOBJMS VERB PREP DET NMP	désigner nommer le président de ce parti parce que avant c' était voilà ça fait trente ans on dit un élu comme ça et qu' on connaît le nom du candidat <eps> <eps> ça faisait trente ans que ça durait là les choses semblent évoluer on va en parler dans quelques instants	désigné nommé le président de ce parti qu' <eps> avant c' était voilà <eps> <eps> trente ans <eps> dit un élu comme ça <eps> qu' on connaît le nom du candidat c' est ça faisait trente ans que ça durait la les choses semblent évoluer on va en parler dans quelques instants	_
2770	VERB PDEMMS PDEMMS NMS PPER1S PREFP VERB DET DET NFP ADJFP ADV PREP NMS PREP PROPN XFAMIL PREL VERB ADV ADV PREP PDEMFS NFS PREP DET DET CHIF NMP PREP VERB DET NMP PREL AUX VPPMS PREP VERB DET NMP NFP VERB PDEMMS NMS	regardez ce ce sujet je vous présente mes mes sentinelles citoyennes juste après sujet de germain andrieux qui revient tout simplement sur cette bataille entre les les deux hommes sans compter quelques ténors qui ont essayé de jouer les trouble fêtes regardez ce sujet	regardez ce ce sujet je vous présente mes mes sentinelles citoyennes juste après sujet de germain andrieux qui revient tout simplement sur cette bataille entre les <eps> deux hommes sans compter quelques ténors qui ont essayé de jouer les trouble-fête <eps> regardez ce sujet	_
2771	PROPN XFAMIL XFAMIL COCO PROPN XFAMIL XFAMIL PREP NFS ADJFS AUX PREP CHIF CHIF CHIF ADV VPPMS PPER3MS PPOBJMS VERB DINTFS NFS ADJMP DET CHIF AUX ADV VPPMP <eps> PREP DETFS NFS DINTMS NMS PREP DETMS NMS	jean françois copé et françois fillon côte à côte c' était début deux mille douze autrement dit il y a une éternité tous les deux sont aujourd'hui candidats <eps> pour la présidence du parti pour le moment	jean-françois <eps> copé et françois fillon côte à côte <eps> était début deux milles douze autrement dit il y a une éternité tous les deux sont aujourd' hui candidat pour la présidence du parti pour le moment	_
2772	COCO PREP VERB PREP DETFS NFS PREP NMS DINTFS NFS ADJFS CHIF CHIF CHIF CHIF CHIF CHIF NMP	mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cent vingt quatre parrainages	mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cents vingt quatre parrainages	_
2773	DINTFS NFS PREP PROPN XFAMIL XFAMIL XFAMIL XFAMIL COCO ADV PROPN XFAMIL COCO DETMS ADJMS NMS VPPMS AUX ADV VPPMS DET NFS PREP VERB PREP CHIF CHIF CHIF CHIF	une formalité pour jean françois copé françois fillon ou encore xavier bertrand mais le troisième homme qualifié a finalement jeté l' éponge sans renoncer à deux mille dix sept	<eps> formalité pour jean-françois <eps> copé <eps> fillon <eps> encore xavier bertrand mais le troisième homme qualifié a finalement jeté l' éponge sans renoncer à deux milles dix sept	_
2774	PPER1S AUX VPPMS PREP DETFS NFS PREP DET NFS ADJFS CHIF CHIF CHIF CHIF	je serai candidat à la primaire pour l' élection présidentielle deux mille dix sept	serait <eps> candidat à la primaire pour l' élection présidentielle deux milles dix sept	_
2775	COCO ADV PDEMMS AUX DETFS NFS PREP PRELFS PPER1S ADV PREFS VERB ADV PREP DETFS NFS PREP DETFS NFS PREP DET PROPN	et donc c' est la raison pour laquelle je ne me lance pas dans la compétition pour la présidence de l' ump	<eps> donc c' est la raison pour laquelle je ne me lance pas dans la compétition pour la présidence de l' ump	_
